Medical Code,Cost
4465J,194.97
94316,496.02
4659H,4754.11
3632C,348.89
36212,4508.92
74211,184.45
44801,407.95
94808,457.07
44572,192.91
95325,311.93
1003O,174.54
22458,99.39
14109,73.04
39360,321.79
6216A,370.61
8435L,171.86
2537B,186.67
72088,6966.7
74325,165.08
44902,308.24
8899S,345.9
9862W,7040.42
64180,166.81
78444,479.86
2414S,190.54
3735S,308.22
85090,132.29
18865,56.07
3717J,228.24
8005F,342.03
74140,7743.11
94478,4167.83
30135,277.53
3879E,323.73
18229,442.49
5900I,6135.17
44302,204.06
97148,3262.88
7215U,380.11
4952B,332.41
8373X,72.31
16373,260.66
3215H,357.55
6986N,213.48
4486W,385.1
7290U,493.74
7357C,2320.82
51542,111.61
7215A,3082.75
31826,91.09
1471G,256.44
33825,281.59
2055S,254.15
39964,4307.71
33595,488.65
46886,441.46
79758,332.78
3321M,237.68
39623,8421.04
6885I,428.2
9831M,304.54
6759K,74.81
4629J,75.03
91547,473.56
78453,182.26
36377,443.15
52120,162.16
9478J,346.26
35192,372.13
91116,319.51
22036,309.73
70816,382.9
29051,9499.22
1060L,337.7
8221K,157.48
4607H,92.46
33536,530.66
4305U,328.6
2154Q,6249.5
93833,9515.43
37076,8223.92
3304H,1156.03
9619B,354.36
7177D,320.09
48294,89.07
5729L,110.29
32052,135.35
6976H,218.51
13879,1863.04
2489D,299.62
51641,174.9
2503T,162.89
9672J,89.25
38112,316.36
66839,5620.05
34641,281.88
46397,145.29
22515,121.35
9563C,435.44
9839R,407.51
3956H,8537.13
4472K,404.22
80668,50.12
2143H,248.05
6744U,5040.09
87656,101.52
7987C,378.73
7950V,282.03
6889I,2463.75
6763K,328.54
5534Y,474.23
17932,232.57
6883M,373.97
85268,4115.16
26929,405.31
2553K,447.88
42723,4364.67
57225,134.49
55073,107.15
25528,126.95
2213B,87.05
5161Z,1945.12
4796X,5261.98
6932L,1567.75
72631,71.05
5572S,417.93
94724,338.27
82147,6626.77
1119E,489.86
9893Y,260.32
4752Y,363.77
61359,130.56
9704B,156.28
7357S,288.64
5969K,739.62
3931B,406.12
79039,403.15
8760E,466.21
9468Z,354.91
27174,400.67
7779R,267.99
74102,357.0
6798O,9179.93
9001C,59.79
1973C,4851.78
87603,209.03
90181,114.84
34192,110.85
84035,59.59
77798,387.38
12502,9202.06
1433P,396.06
3759V,2369.92
2983M,257.52
29857,160.24
72873,92.11
87894,472.72
41458,388.75
8832O,296.78
57864,388.23
38361,165.02
2796D,287.6
7696V,79.99
90526,354.67
17867,4658.32
85648,1876.4
98372,330.8
82781,376.86
7628S,2167.2
7853U,142.1
9604Z,280.04
1272B,76.05
77173,363.01
96595,232.69
4807Z,259.07
82201,334.35
78389,309.12
7627X,133.61
8921G,5052.71
56904,382.04
8525W,1319.99
4244Q,370.46
3258L,484.66
81060,314.19
9919P,296.76
3798B,461.83
67803,115.82
14586,95.16
38291,266.38
37653,4561.56
10447,232.23
3825U,158.91
3764J,327.61
66913,78.53
46590,5612.94
31095,206.74
15590,143.01
2937A,164.01
3601J,470.3
11690,496.74
31141,2755.18
9280E,2067.35
9852P,240.53
4984G,325.19
23235,471.92
74628,96.37
79071,321.57
5590C,398.06
5429Y,1993.34
1860L,179.57
23392,147.26
2191H,441.57
93773,342.29
81337,7180.82
29691,144.81
4959B,8954.62
6405M,103.05
97716,234.37
41152,187.18
6861U,272.02
3323N,151.38
75791,225.04
85306,7882.55
46930,52.46
93558,361.96
49149,325.48
46609,153.91
1935C,346.28
81066,420.81
56744,5560.79
36772,122.5
93911,9453.4
1446M,498.2
4432Z,344.79
1150E,96.91
89149,9599.95
2556M,361.6
75515,82.78
90644,122.42
22894,318.89
13425,2866.76
4474I,176.97
36729,250.92
37685,110.49
4029L,427.28
2772G,5929.31
87050,165.39
87439,496.57
8199I,184.07
9921J,307.3
8020V,234.41
1911P,167.21
8986B,6640.25
6559G,247.54
2305V,969.27
79508,105.64
85046,140.88
56224,7004.07
77677,141.57
3135H,489.69
18857,8210.73
55757,345.99
22505,5597.82
8379M,1139.65
26592,370.52
38121,73.88
15014,296.89
83732,235.45
7334H,190.94
42153,61.4
7873A,228.25
3136B,2945.99
31790,247.9
3283B,2796.8
74822,421.49
89757,128.22
9144M,1414.28
2324Y,497.49
9679Q,8722.32
12407,1559.26
63313,9998.21
4454K,362.32
3633Z,2125.4
78139,7285.64
6769T,265.93
79316,248.6
16656,60.4
5117Y,256.83
1811N,192.15
36494,5910.27
41784,111.99
69180,9441.95
28771,216.36
9263X,426.12
2145R,9248.18
3553W,415.78
5408Q,7068.74
50169,130.06
28069,106.47
3656S,291.62
16903,344.02
81823,224.42
78025,433.65
62471,384.86
8707W,353.1
24555,446.54
82605,5479.12
59353,147.5
4164E,208.41
24366,481.57
3033O,183.68
50992,4371.36
2989B,198.4
95274,187.79
37523,53.88
7441R,295.99
11110,4784.47
9156X,457.81
80539,8981.68
1819F,216.73
32107,60.09
63664,103.77
7073U,140.14
12872,284.29
21172,354.19
9250X,123.85
31510,258.65
7610W,139.44
91032,180.69
71336,130.93
5256Q,157.65
6042D,4311.63
24701,263.83
11369,8254.3
52229,95.56
9140M,380.0
23732,9514.92
6346P,397.82
6807U,171.66
1084J,56.15
34944,5525.07
3837I,4455.35
3647X,161.67
43457,4271.44
92920,3450.66
2773D,235.74
7407I,4220.56
8468G,8948.36
6634V,270.73
99266,448.37
49359,120.85
95526,361.07
74455,495.15
18317,2228.84
29919,434.31
4543J,366.55
77100,1587.0
96495,165.46
9200M,262.53
68148,8670.03
8852B,272.02
92030,460.21
50676,9107.72
60088,174.98
2331A,8364.89
6058K,485.02
1181I,223.62
2835F,357.51
11797,462.37
9998P,353.88
55152,418.9
8054V,330.64
3955X,9243.44
4782A,9762.56
2529F,83.31
8280E,6367.55
15524,274.91
5432C,407.14
9151L,1105.42
51166,189.25
80397,473.16
8268P,157.09
99387,350.1
1763U,509.11
25676,119.06
1382C,295.82
71525,467.96
1993G,428.83
5974V,352.12
2684C,243.83
9500I,311.75
3962I,303.59
21149,402.84
2817U,242.75
3216S,191.79
5460R,251.27
1701Q,229.04
38066,358.47
4774U,381.99
7015U,190.79
4078Y,5219.84
3359H,167.2
43195,236.9
8616L,3175.43
5477Q,184.65
12025,485.61
8170M,206.93
82066,386.89
2324J,2341.26
1619P,55.9
4579H,180.18
75272,248.42
9495E,366.29
36503,1841.3
6469O,2801.83
26786,1297.12
39111,497.2
8475I,165.6
7718W,152.69
6416J,9733.55
6080T,124.06
3788Q,75.29
4486I,178.36
68612,2594.93
33142,391.55
90560,228.0
32913,370.78
48291,646.11
9509Z,4957.64
8721Y,446.22
3651T,125.22
61568,835.59
16677,62.75
20392,4063.47
74730,120.86
2659Y,469.28
99012,356.02
76768,7913.84
74672,441.77
54747,201.1
73987,422.05
1759P,7179.49
70191,8509.22
79687,202.15
3911D,204.46
7443E,157.8
24685,853.48
42874,8276.83
3463C,448.35
95878,6444.43
7431B,345.77
55451,313.78
1137Y,8970.69
42121,4154.88
82423,294.23
67259,391.16
83257,466.46
2337S,483.18
57081,4596.19
12723,273.62
1429M,333.62
7334G,7586.1
66172,436.54
90738,4990.83
9523J,8365.05
91671,59.93
3457E,248.39
5878W,5787.99
3360A,225.35
4760H,174.31
1568K,4265.49
58968,385.91
39002,9872.68
4496M,398.83
8153U,364.5
1571D,304.23
25601,355.51
6066J,65.95
4322F,687.98
5656B,459.61
97258,127.18
6795W,104.82
85271,108.93
4553V,350.94
10399,146.5
94473,244.62
2529C,499.97
67962,3842.23
92822,296.41
2547V,471.55
96208,9124.45
5616J,9961.5
20560,390.78
32148,411.35
12493,71.3
20063,81.13
70105,337.24
42683,80.32
46702,403.1
29327,2263.54
47566,202.27
94624,200.9
8085Q,4877.96
9523N,208.76
92396,4832.24
7454O,61.11
8542K,3251.41
4734Q,50.89
1053K,6608.36
88132,93.03
8907K,270.4
1092K,426.35
26348,232.66
49770,7327.88
21645,486.05
8625B,469.98
1713N,2620.01
8122Q,180.72
94331,136.94
91900,139.42
79621,203.19
38468,253.34
27690,245.45
6675G,475.5
7802B,204.0
5983S,1341.46
7964B,354.06
32232,158.93
2073L,4790.8
3269J,8027.91
45803,493.84
49884,490.98
6274W,398.08
69879,350.37
5455D,181.86
3359P,9254.37
13045,154.51
8481O,225.79
99793,132.72
4920D,348.4
8794U,301.76
19413,443.28
80197,91.72
49590,420.4
5823U,4149.89
9187Q,2733.78
57701,436.25
76170,367.73
9429C,161.23
3435F,7399.75
78715,124.57
1445X,8625.18
6196N,427.54
1494S,399.5
58558,3535.98
3345D,484.98
4978N,442.0
34682,464.36
64592,68.82
74764,8449.0
1415C,1418.81
35022,406.8
54171,222.81
16973,5733.93
91923,402.61
4205H,325.48
9374D,419.49
8082D,98.44
3612Z,163.48
3795S,250.0
8129U,4339.84
21901,195.02
26596,390.91
1373S,1352.73
8349U,480.7
2396X,6015.04
97628,206.26
4220X,359.67
73569,304.47
93537,276.37
6026Q,446.5
3014C,5090.24
92564,146.26
98413,9962.6
9799E,199.24
6281B,129.8
4746G,405.16
14450,123.12
1122M,2922.0
29915,3739.23
1656P,215.63
6747C,494.4
5030X,99.47
9627M,6148.38
2762E,197.33
3642N,61.41
4979R,434.67
3766R,245.51
71671,7645.37
39189,154.67
36776,289.61
3469W,422.79
8297I,1624.49
3816U,489.41
2530S,137.48
1077W,480.2
80215,854.14
25618,389.49
17512,794.92
58628,197.41
5814Z,306.46
86826,9459.84
2333X,2512.62
9676P,71.58
80184,213.22
5554V,471.49
7070F,235.16
2659E,459.36
3225A,339.56
17358,153.4
6620V,443.68
6296T,169.43
9046O,439.91
18279,238.17
8269M,5319.86
97504,474.0
6314F,172.07
2885X,465.51
52563,486.48
6762T,9903.73
21888,3043.02
9259T,80.35
1839V,226.2
91153,217.01
7878J,4234.64
68476,424.76
1393B,338.93
5926O,385.17
73985,423.09
66654,80.85
9827I,1828.75
6419D,415.58
15095,385.76
93198,9126.25
1499W,398.44
8507S,105.72
15549,213.71
87181,4156.5
8829B,495.92
3043P,9674.19
2294G,9716.27
17421,465.87
8614N,2098.13
6850U,175.94
5298J,363.83
2622I,339.11
90486,137.23
9851P,256.93
46099,256.17
2583W,114.14
6567L,206.3
6302N,272.36
76339,257.68
8278H,4613.27
11750,301.52
51339,9116.04
5354I,347.72
18472,61.44
57596,497.28
33052,258.38
61049,211.01
71403,492.53
1827R,88.53
69083,242.46
1365Z,281.71
26471,425.78
19947,398.04
95498,217.08
1368B,369.81
6373P,203.47
50672,8979.09
4983G,93.42
55787,256.61
7340I,399.42
64122,3231.87
7907I,418.95
54562,485.53
16786,6577.2
6502P,8938.37
7778J,5156.77
2087K,9836.36
61097,4101.05
6262C,231.52
8278Z,74.09
51307,142.84
4222G,1673.24
51922,3982.65
47662,2604.39
6211L,978.11
8646J,216.73
4368G,348.6
83879,469.83
4550X,306.57
9250V,3614.78
5135Z,320.55
7486Y,126.88
7049N,483.46
48759,6998.48
9889G,449.47
32150,357.39
41912,479.43
80531,237.43
56172,221.14
3679S,301.46
73137,5019.74
27459,65.85
50705,440.79
6209W,229.03
30867,364.8
25698,328.89
23036,8823.5
1101E,6264.72
52198,213.54
8065Z,5595.16
3664B,154.02
19284,2287.78
89945,257.62
83889,335.51
87357,1097.5
44968,163.07
2797H,313.96
49891,58.38
73838,484.03
41153,4476.1
8250Z,7422.73
64192,330.25
1577D,484.0
7351A,368.01
81621,411.08
1309Y,5017.8
4034Z,475.25
86062,121.84
32629,4262.21
1660V,4614.22
5559N,9580.45
30127,368.71
9324Z,6694.71
11947,465.37
8726B,283.67
77884,140.01
1586U,272.46
85537,91.67
65572,128.1
91118,7834.78
8293S,135.85
98570,494.78
2226U,123.44
9608Y,367.17
9277C,333.49
83391,80.98
39133,9209.53
9393Z,425.11
57309,378.62
4818K,224.02
1369G,479.15
52133,4863.3
4822Q,329.52
5392R,288.4
91961,329.59
75380,135.19
27963,336.75
87051,439.02
4135G,9798.36
9606Y,5988.32
62255,64.89
47544,7067.92
58172,281.16
9796P,251.19
1214R,58.76
4522J,450.49
36660,158.11
65768,143.03
99925,382.42
6952J,352.29
5028K,359.45
7937G,464.05
37063,224.78
9938F,219.79
91303,424.76
66673,185.91
1086E,182.28
56681,54.7
70774,1807.62
33510,149.74
80550,280.7
58456,461.7
23494,257.57
2082S,482.6
67408,427.71
1155G,459.28
90612,236.18
28416,320.61
2384H,410.55
23588,236.96
1770A,2493.17
98276,98.8
4586B,4018.27
1254U,476.36
39919,179.56
4872I,280.86
4985A,193.21
49529,486.51
55714,215.43
8913Y,6263.1
31728,7680.17
8862Y,213.28
4879E,192.78
1481L,8720.01
33984,302.05
83526,224.69
4356Y,111.21
7510D,336.76
9323J,351.04
26723,244.64
5083U,89.52
39115,149.57
54119,474.46
82268,245.0
8921Q,480.64
79540,252.62
1513L,431.42
14343,295.34
25486,315.1
28943,224.85
36583,426.95
62438,186.16
8459G,9969.16
1065V,90.46
79618,135.76
85131,274.36
22259,7925.42
68584,325.47
8255P,158.83
1121T,130.63
4849T,191.79
57587,369.95
9407I,221.19
44031,226.52
9547Z,69.65
8158B,411.11
25536,5632.41
21452,363.43
95074,228.5
66621,193.4
8978M,294.11
5628O,444.11
38982,194.52
3925P,174.0
1125Y,388.84
2894A,6061.75
55861,163.52
78288,211.15
2078E,328.17
23496,579.8
3878V,325.08
9348A,9890.18
86816,159.99
79371,250.99
74589,2320.05
4797V,475.62
64885,369.3
5607R,418.24
9710J,7306.93
2905K,154.79
49597,104.46
12483,8309.12
95838,112.8
71971,77.6
6575V,278.0
6201V,297.84
17686,623.27
4535S,325.17
18168,189.82
9367J,94.33
4206H,214.41
39346,348.65
19600,165.47
7633R,94.87
86115,7920.89
92789,326.6
9703A,78.11
4072X,278.88
1076L,303.83
7709A,334.02
7553X,483.42
35797,314.96
2299V,7711.55
3591U,367.86
89311,219.64
12281,302.19
38020,9850.28
25314,308.13
47658,403.94
59985,4530.26
43612,317.52
36517,60.71
1596M,192.31
9195M,8660.49
4520E,85.72
96329,425.15
9960C,298.88
32429,183.53
61841,6728.96
14174,393.39
1213A,458.51
87274,419.77
92679,2048.49
3947G,304.21
4367U,436.09
16359,468.97
8054E,329.44
2242Y,486.38
59865,462.16
72422,6441.34
40765,6602.18
7408R,2102.91
9504O,121.23
3173T,237.11
21640,7340.96
6748L,349.36
71429,1758.92
28085,430.3
8697H,447.88
64804,7137.8
27939,299.87
3133M,413.07
71620,107.34
97757,9379.49
3064P,441.99
6468U,495.67
9922R,1151.05
50416,129.09
4642C,395.02
9174S,358.69
81656,1561.86
3289Q,4139.42
18796,433.78
8201R,5328.2
78799,51.02
3103J,179.39
5238C,377.06
9683Y,291.59
40918,3377.81
53091,97.34
28206,294.81
53284,317.49
66608,2562.27
7329H,323.32
34386,87.91
6515L,155.92
8181T,491.13
50645,208.65
2523N,386.17
32635,9353.84
68841,2318.2
1304Y,453.62
79465,251.52
1577L,472.68
48656,56.12
9623L,238.53
51695,145.81
7474U,79.62
57524,148.08
7708A,323.82
5046Y,188.56
83826,245.32
64217,8082.6
65213,276.11
68109,150.54
10126,238.92
92004,479.31
5079N,448.87
54939,723.3
71935,1968.5
66396,2652.21
2354G,330.27
2610A,5894.94
35195,469.86
22780,420.26
9644U,161.5
8209A,297.54
7473Q,4206.94
49469,257.86
7042B,192.85
1934R,171.33
58486,398.13
32643,337.89
2837V,57.56
6111Q,114.56
86307,9390.86
83898,146.14
48822,357.87
5563T,315.19
87546,218.93
6745K,297.76
9865W,6552.08
10850,460.09
3655B,57.79
18860,433.78
80072,275.15
7369X,191.82
6011K,84.92
79545,183.12
35826,235.17
3870M,161.82
2651B,102.61
78057,176.78
23466,206.09
66136,9454.41
8609F,3122.48
79393,4925.16
6143V,400.24
9323G,7292.36
8841A,62.73
2793Q,1292.52
54519,60.89
1404Z,8017.98
85773,81.62
47471,322.96
76029,1320.17
39411,154.3
17633,449.95
50060,9488.19
37951,89.0
23822,396.23
9947R,238.7
2748J,59.71
3120G,238.25
3287I,313.84
89203,151.83
26407,207.99
7174O,151.96
9764C,445.93
9945M,6531.62
5694E,309.54
50619,335.94
4794X,122.49
24000,445.53
58312,7586.45
86076,447.78
62396,331.27
3895A,340.65
1249K,2549.01
6304B,397.26
2814U,4973.52
9880Q,163.96
81204,9434.36
7236Y,265.73
7852I,773.62
90237,356.09
7871X,8394.51
9919A,154.94
46667,4463.49
2577A,4103.1
8624E,396.83
49532,444.75
64677,214.21
6966C,2992.34
1487P,6963.49
52794,122.7
6732C,230.93
1848G,184.07
8301F,1559.65
9729B,276.55
6712T,740.7
76426,179.3
47585,444.86
8106O,1354.35
1995J,7601.4
6604U,2959.88
45918,93.72
2909T,223.91
83694,418.89
1298A,294.14
54272,85.84
4669X,456.12
3101B,233.14
99156,73.03
30853,212.59
8054S,65.54
32235,5882.39
6398C,246.1
72382,233.16
10929,92.8
2483R,140.64
85023,95.57
36389,454.11
18278,52.1
4081R,3052.97
87705,4477.34
87159,120.37
67681,479.27
23168,402.88
39463,252.75
19437,1176.33
1463R,216.58
10663,483.75
32722,4679.05
40535,176.14
34453,64.4
7772N,114.43
3823C,110.6
76609,8992.65
68632,431.37
70021,90.02
6715D,7367.72
51240,6366.79
37680,278.71
82815,383.5
65032,8630.18
91739,3867.02
9751M,407.15
4970C,407.65
4658Y,6570.69
53434,4614.99
1381H,440.88
2534Q,265.53
2365L,82.67
91460,173.29
89049,137.88
63592,190.23
1754I,338.17
1332T,393.12
24589,415.54
3480I,6066.76
7911R,449.44
9097N,3551.96
71578,4545.18
51081,124.33
80432,283.7
72036,134.68
23355,1244.89
5536E,9289.53
70201,382.0
1420Y,3632.68
3916O,234.1
5824P,478.27
75409,160.84
1719C,326.79
37327,168.54
51830,9907.47
48865,385.86
22665,243.28
8474M,4106.42
5309I,8659.32
80393,236.77
2114A,4664.05
99778,272.46
4959M,374.49
28382,467.89
58273,5628.13
56960,5071.22
1916X,2528.18
61019,1802.68
3545O,5012.48
2159G,3020.26
9143U,233.76
10313,204.51
6680X,104.45
7780R,314.56
70509,216.23
9387Q,146.96
6046Y,264.86
1068O,394.31
49641,4528.67
5527L,401.25
2164Q,466.38
89361,454.58
39373,291.76
4013W,316.53
98288,431.12
7164J,155.91
6025F,62.04
9751Q,411.82
7448N,5937.12
3161J,207.89
3964H,175.04
5633H,94.69
5083K,211.27
1635E,52.65
3888B,325.95
9397P,133.35
6453A,9397.83
6314C,221.69
1369Z,449.2
3941Y,6613.46
93148,361.99
40171,8927.24
2571C,311.75
1338S,193.97
4654B,7969.31
12441,6930.91
61989,75.58
66578,432.44
71092,241.03
24635,441.05
5992Y,2070.74
4793O,1641.55
32926,185.51
71425,195.43
28147,455.05
3960E,284.42
69349,325.16
53733,485.94
93279,444.16
86883,273.99
2781G,147.15
6344B,4806.87
1166S,182.52
56148,110.59
5921G,258.9
74131,830.91
6580G,8822.31
8985Z,431.97
28366,257.51
4962R,4649.23
7050U,294.25
6869Z,129.36
4877O,173.41
7611C,1411.07
60114,324.08
64147,425.42
69035,381.26
1201Y,447.0
2527Y,7542.4
3292O,89.56
6525Z,445.39
9952M,220.98
19833,245.61
63794,397.67
2533E,1997.88
6069L,345.38
6061E,52.6
1243S,156.7
52213,8711.68
3602E,93.52
4636J,301.22
1736K,155.9
4102E,9861.07
9247L,520.69
54662,8607.96
33095,144.36
84315,173.81
11920,465.69
9568H,9254.41
1430L,142.14
6789Y,8050.61
33790,5243.97
2820W,430.83
84038,481.38
74622,483.76
2011Y,345.64
8788S,60.69
88099,417.78
7265V,318.89
6566O,491.61
68452,487.85
8914V,395.78
9548L,2711.98
71104,316.56
9118G,400.81
5440L,482.49
62600,50.57
10065,66.98
5541U,6999.13
47422,456.87
70618,122.52
6180I,7213.27
18856,437.26
1779A,366.18
62758,430.59
3893X,2369.06
4198U,109.98
1125R,449.78
1885S,227.44
33719,296.45
2723K,56.81
1829B,6538.62
2571T,72.37
47294,4873.97
99437,260.72
41014,338.46
8053E,301.35
64105,213.55
7022V,200.94
8017Z,67.92
1438C,397.1
1819Y,8751.98
1365O,6913.53
4976B,285.35
93294,138.07
26998,9087.31
44741,1340.06
14500,8147.93
5980F,464.65
90265,2991.5
8975P,340.34
67627,272.06
22845,271.89
9856J,107.58
58802,183.49
6261B,271.88
22704,658.95
4153I,186.5
8309H,157.45
3862G,241.29
84188,9415.31
6569L,6505.79
53580,334.8
15793,322.89
3729L,286.25
9025J,201.41
5980E,119.53
62170,336.86
8112H,323.74
6562E,65.15
1726W,278.82
84591,141.08
22654,482.47
2171B,289.85
8780G,9684.7
74564,206.02
65642,311.39
76744,402.02
4881X,5358.32
2316Z,2136.62
23058,161.92
15854,79.41
9576M,333.34
61755,2648.73
90387,2200.58
6834K,144.26
3139Y,349.03
94150,404.41
8488D,350.86
1685R,414.1
5407K,345.66
30493,221.52
90737,460.51
23460,6809.11
6270S,494.43
44303,4040.74
2534Z,4215.34
66776,106.61
4498J,136.69
1676I,483.98
46070,236.67
55245,386.46
52225,380.58
73858,224.92
6185O,221.06
87307,123.59
6869U,4712.9
43853,424.99
6441J,150.83
41720,499.06
2900Z,65.83
5185I,903.19
58965,9580.22
45975,483.32
1503D,414.96
21621,2324.59
30513,495.99
38793,358.28
52032,378.54
3163R,212.84
3008C,318.15
4575U,9988.41
1522D,223.55
82009,327.18
26601,467.97
65102,285.32
3229M,6619.82
29829,320.68
6100C,120.86
54414,7617.91
2418H,235.08
25509,231.85
67168,2893.79
8899Q,113.22
2783A,65.94
21011,398.72
94993,2881.75
72751,5446.36
61413,111.74
6129I,7933.28
1754B,640.01
40353,7628.51
7864A,239.56
20450,172.64
82863,458.44
5457F,354.85
7609W,494.07
93769,428.92
8123Z,274.91
72656,179.58
1165U,468.39
9233Z,67.22
89075,4957.25
6853F,3833.31
8985S,477.66
7499K,190.04
2256Z,150.14
50101,386.31
4200R,271.51
21968,389.81
41861,212.7
1827I,183.75
69114,5302.57
5499V,91.12
7415C,220.16
5769M,3336.52
8760Z,368.92
4655O,259.9
31086,240.41
28724,131.56
53901,125.12
69415,379.75
32485,380.09
3357K,130.52
33823,129.27
4714V,460.1
7876P,191.07
19867,7883.12
4903S,52.23
4308Z,7204.66
5053R,474.65
68509,246.58
3524H,452.77
35142,7052.59
2122L,638.13
4827P,8719.28
7218K,158.0
94396,362.89
6953Z,318.17
1746G,389.36
8478U,711.56
4053K,1683.37
4015L,2451.64
66059,1807.68
84757,484.96
50318,333.58
9893C,69.48
35060,80.08
87837,9558.94
7295K,78.58
31684,205.8
46071,295.44
6463R,214.71
1636N,471.62
2531L,135.86
31537,426.01
61586,428.61
9470N,2240.21
2700W,362.31
88340,8108.98
10839,52.73
87470,259.56
34730,225.78
55682,378.99
67920,467.07
95693,215.72
97033,436.36
52382,64.26
37935,419.58
36248,421.2
5736T,255.59
83954,142.14
90951,63.83
7493F,491.74
83645,155.96
4407X,359.91
4922G,424.83
57119,213.96
5997R,6018.61
78473,175.7
50230,131.65
87441,209.34
8749T,287.03
57549,220.11
2240R,267.72
