Medical Code,Procedure Name,Cost
40090,Laparoscopic oophorectomy,222.34
67850,Laparoscopic radical prostatectomy,80.32
81716,Laparoscopic sterilisation,205.66
5712J,Laparoscopic subtotal hysterectomy,2538.77
14099,Laparoscopy and dye test,7510.5
52017,Laparotomy,271.1
8750H,Laryngectomy,3765.82
2818Q,Laryngoscopy,280.58
96338,LASIK surgery,120.48
98310,Lateral internal sphincterotomy,203.24
33453,Liposuction,1874.97
37381,Liver biopsy,106.71
16187,Lower limb angiogram and angioplasty (radiology),3742.82
58687,Lumbar laminectomy,605.29
8484R,Lumbar microdiscectomy,460.21
78276,Lumbar puncture,319.53
85910,Lung biopsy,270.98
71609,Magnetic resonance imaging (MRI),372.7
50919,Male mastectomy,290.78
37062,Mammography,316.24
56492,Mastectomy — breast cancer treatment or prevention,8808.34
1020B,Maxillary Le Fort 1 osteotomy,116.92
9684K,Microdochectomy,7457.05
64010,Mitral valve surgery,239.82
3450J,MRI,1018.94
84669,Myringoplasty,448.45
1573E,Myringoplasty (child),2724.2
49523,Nephrostomy,72.6
17097,Oophorectomy,58.99
9217I,Open cholecystectomy,266.51
53357,Open incisional hernia repair,174.09
72623,Open inguinal hernia repair (female),72.77
1996C,Open inguinal hernia repair (male),134.02
16798,Open TMJ surgery,300.3
9586A,Orchidopexy for a palpable testicle (child),355.94
91370,Organ transplants,87.47
1491X,Orthodontic treatments,123.16
8526V,Ovariectomy,387.64
17101,Pain relief after surgery,169.97
90196,Paracentesis,363.56
8719D,Parathyroidectomy,359.77
41865,Paraumbilical and umbilical hernia repair,112.8
4371X,PEG tube placement,457.76
43586,Percutaneous coronary intervention,5108.56
1605A,Peripheral nerve block (lower limb),141.84
38193,Peripheral nerve block (upper limb),238.14
1326I,Pet scan,3886.22
7864O,Pinnaplasty (adult),474.51
6286P,Pinnaplasty (child),4798.77
42861,Positron emission tomography (Pet scan),273.73
3388N,Posterior repair,138.62
8688T,Preparing for surgery,3350.47
3290O,Primary anti-reflux surgery (fundoplication),116.93
1867V,Ptosis surgery (adult),403.73
8821G,Punch Biopsy of a Skin Lesion,492.14
74643,Pyloromyotomy,190.5
36024,Radio-frequency endometrial ablation,225.54
46781,Removing benign skin lesions,5279.5
47159,Removing metalwork,9488.4
17008,Removing permanent teeth (child),3151.77
45686,Retinal detachment surgery,257.57
41055,Reversal of Hartmann's Procedure,195.34
80058,Reversing a vasectomy,212.26
4789Q,Revision total hip replacement,341.63
2177I,Revision total knee replacement,183.02
95684,Revision total shoulder replacement,293.93
3652V,Rhinoplasty,3415.88
58837,Rigid cystoscopy (female),2591.76
9833O,Rigid cystoscopy (male),223.22
11446,Salpingectomy,145.04
6420X,Sentinel node biopsy,373.99
9617F,Septoplasty,5485.62
75536,Septorhinoplasty,3117.26
9443R,Should I be tested for heart disease?,2054.87
9232U,Should I be tested for skin cancer?,2043.45
38028,Shoulder stabilisation surgery,3300.36
55657,Shoulder surgery (rotator cuff),114.95
7029N,Sleeve gastrectomy surgery,265.66
64557,Spinal anaesthetic,452.45
5847A,Stapedectomy,2242.83
38921,STIs screening tests,411.32
5236I,Stool tests,408.12
77219,Surgery (preparing for),5523.74
92700,Surgery for anal fistula,2649.23
1793U,Surgery for benign scrotal lumps,2248.08
8452U,Surgery for de Quervain's disease,1773.22
3498S,Surgery for diverticular disease,176.65
38018,Surgery for ingrowing toenail (adult),9985.9
2447J,Surgery for ingrowing toenail (child),6468.06
56565,Surgery for large hiatus hernia,167.88
41976,Surgery for pilonidal sinus,487.36
8613N,Surgery for problems of the small toes,452.04
8037I,Surgery for rectal cancer,133.99
7097N,Surgery for tennis elbow,254.64
8150J,Teeth whitening,59.31
1065L,Temporomandibular joint (TMJ) arthroscopy,5829.89
6599B,Tennis elbow surgery,436.03
1399R,Thermal balloon endometrial ablation,1797.97
4559N,Thoracoscopy,3860.82
9431Q,Thyroidectomy,65.08
60222,Thyroidectomy for suspected cancer (nodule),55.61
84347,TMJ (Temporomandibular joint) arthroscopy,494.92
7462V,TOE (Trans-oesophageal echocardiogram),138.85
4031Y,Toe and forefoot amputation,450.47
13819,Tongue-tie division (infant),5752.05
43094,Tonsillectomy,386.64
1997B,Tooth extraction,8411.96
55638,Total ankle replacement,66.92
8921N,Total elbow replacement,415.71
92139,Total shoulder replacement,236.42
87332,Total thyroidectomy (for thyrotoxicosis),499.63
61062,Tracheostomy,326.46
78220,Trans-oesophageal echocardiogram (TOE),101.97
10807,Transbronchial biopsy,333.82
8774I,Transurethral resection of the prostate (TURP),251.93
49727,Trapeziectomy,108.71
7851Z,Trigger finger release,127.42
5391X,Tubal ligation,71.06
9401D,Turbinectomy,485.68
93958,TURP (Transurethral resection of the prostate),6650.34
38919,Ulnar nerve release,8547.45
22656,Ultrasound,395.48
8595T,Umbilical hernia repair (child),314.62
83706,Unicompartmental knee replacement,406.2
35208,Upper GI endoscopy (child),3573.06
7011W,Upper GI endoscopy and colonoscopy,313.68
1170U,Upper GI endoscopy and dilatation,182.69
2544L,Upper GI endoscopy and dilatation (child),60.54
9490H,Ureteroscopy,261.66
69970,Urethrotomy,3417.77
28345,Vaginal hysterectomy,2104.13
5218N,Varicose veins surgery,270.53
36070,Vasectomy,1174.97
21215,Vasectomy (bilateral),273.46
6860I,Veneers,3314.27
53871,Vitamin B12 test,603.81
70559,Wide local excision,392.21
6976W,Wisdom teeth removal,4843.64
6482A,X-rays,193.58
9577L,Abdominoplasty (child),61.84
4859B,Adrenalectomy,465.49
8860I,Ankle arthroscopy,167.69
53281,Anterior cruciate ligament (ACL) repair (adult),210.68
75990,Appendix removal (child),149.63
2437H,Arthroplasty (knee),2369.91
3110U,Arthroscopic knee meniscectomy,83.4
5389M,Bariatric surgery (adjustable gastric banding),282.76
3353J,Bariatric surgery (gastric bypass),389.14
29473,Biopsy (bone marrow),992.63
1720Y,Bladder reconstruction,372.83
26658,Breast lift surgery,205.63
3077N,Breast cancer reconstruction,429.69
3327G,Breast augmentation (saline implant),94.97
74586,Breast augmentation (silicone implant),114.8
56611,Bronchial biopsy,368.45
57347,Cardiac ablation,87.64
82990,Cardiac stent placement,122.35
1044H,Carpal tunnel decompression (child),253.77
36886,Cataract surgery (advanced technique),340.91
13758,Cervical discectomy,227.45
5712N,Cholecystectomy (laparoscopic),394.33
6792D,Circumcision (adult),86.63
21358,Cochlear implant,317.07
87156,Colorectal surgery,3094.34
96927,Colonoscopic polypectomy,4720.38
4465J,Conjunctival flap surgery,371.15
94316,Corneal flap surgery,238.09
4659H,Coronary artery bypass graft (CABG),6628.88
3632C,Cryotherapy for warts,85.74
36212,Dental implant surgery,71.38
74211,Dentures (fitting),415.08
44801,Diabetic foot surgery,359.6
94808,Disc replacement surgery,208.72
44572,Electroconvulsive therapy (ECT),345.15
95325,Endometrial ablation (hysteroscopic),380.2
1003O,Endoscopic gastric surgery,177.63
22458,Endovenous laser treatment,7667.43
14109,Excision of skin lesions (child),154.42
39360,Excision of lipomas (child),293.24
6216A,Excision of uterine fibroids,482.03
8435L,Fertility preservation surgery,7080.45
2537B,Gastrectomy,375.92
72088,Gastroplication,9173.05
74325,Gastrostomy tube placement (adult),3669.82
44902,Genetic testing for cancer,77.86
8899S,Gingivectomy,6175.03
9862W,Hair follicle transplant,424.43
64180,Heart valve surgery,414.13
78444,Hernia repair (hiatal hernia),2899.38
2414S,Hernia repair (umbilical),411.37
3735S,Hip replacement surgery (anterior approach),231.48
85090,Hysteroscopy (diagnostic),129.75
18865,Ileostomy formation,8329.04
3717J,Inguinal hernia repair (laparoscopic),3727.39
8005F,Insertion of pacemaker (child),9521.53
74140,Internal carotid artery stenting,332.83
94478,Knee arthroplasty (revision),348.09
30135,Knee ligament repair,319.32
3879E,Laparoscopic appendectomy,81.92
18229,Laparoscopic sleeve gastrectomy,409.99
5900I,Laparoscopic gastric bypass,9979.66
44302,Laryngectomy (partial),583.64
97148,Liver transplant,217.87
7215U,Lung volume reduction surgery,264.6
4952B,Lymph node dissection,215.13
8373X,Mastectomy (preventive),170.53
16373,Mediastinoscopy,950.17
3215H,Meningioma resection,88.02
6986N,Microvascular breast reconstruction,318.19
4486W,Minimally invasive spinal fusion,316.82
7290U,Nasopharyngectomy,87.15
7357C,Ocular prosthesis,135.5
51542,Open abdominal surgery,429.65
7215A,Open heart surgery,141.84
31826,Open hip replacement,109.36
1471G,Open shoulder surgery,333.91
33825,Ovarian cystectomy,479.3
2055S,Ovarian cancer surgery,357.91
39964,Pediatric tonsillectomy,1727.46
33595,Pelvic organ prolapse repair,206.19
46886,Pneumonectomy,378.45
79758,Postoperative wound debridement,152.08
3321M,Prostatectomy (robotic),389.06
39623,Pterygium surgery,4339.88
6885I,Rhinoplasty (functional),379.5
9831M,Shoulder arthroscopy (rotator cuff),209
6759K,Sinus surgery,368.52
4629J,Spinal fusion surgery,288.95
91547,Spinal cord stimulator implantation,102.76
78453,Splenectomy,158.96
36377,Surgical resection of lung cancer,66.38
52120,Testicular prosthesis,3708.56
9478J,Thyroid cancer surgery,2037.66
35192,Tonsillectomy (adult),488.27
91116,Tonsillectomy and adenoidectomy (child),9263.4
22036,Total hip replacement (minimally invasive),178.89
70816,Total knee replacement (robotic),96.36
29051,Transsphenoidal pituitary surgery,384.38
1060L,Tubal reversal surgery,395.66
8221K,Umbilical hernia repair (adult),478.45
4607H,Upper gastrointestinal endoscopy (adult),369.14
33536,Vaginal prolapse repair,5640.63
4305U,Varicose vein stripping,6135.43
2154Q,Ventriculoperitoneal shunt placement,119.81
93833,Wrist arthroscopy,410.32
37076,Xenograft transplantation,185.06
3304H,Abdominal wall repair,276.06
9619B,Achilles tendon repair,5896.32
7177D,Adult circumcision,209.97
48294,Adrenal gland removal,112.9
5729L,Aortic aneurysm repair,476.77
32052,Arthroscopic hip surgery,370.44
6976H,Arthroscopic shoulder repair,1976.06
13879,Bariatric surgery (sleeve gastrectomy),495.18
2489D,Bariatric surgery (Roux-en-Y gastric bypass),443.18
51641,Bilateral hip replacement,449.87
2503T,Biopsy (liver),410.44
9672J,Bladder cancer surgery,8033.29
38112,Breast reduction (male),247.76
66839,Breast reduction (female),7100.81
34641,Breast reconstruction (microsurgical),252.06
46397,Cardiopulmonary bypass surgery,425.47
22515,Carotid artery endarterectomy,496.16
9563C,Cataract surgery (phacoemulsification),5723.49
9839R,Cervical fusion surgery,8427.41
3956H,Cervical spine decompression,141.67
4472K,Cholecystectomy (open),137.32
80668,Cochlear implant (bilateral),2582.87
2143H,Colorectal cancer surgery,307.25
6744U,Colonoscopic polypectomy (adult),246.11
87656,Colorectal surgery (laparoscopic),412.83
7987C,Corneal refractive surgery,458.04
7950V,Coronary angioplasty,52.54
6889I,Craniotomy (for brain tumor),9359.31
6763K,Dilation and curettage (D&C),3792.47
5534Y,Discectomy (cervical),246.78
17932,Diverticulectomy,235.63
6883M,Dorsal root ganglion stimulation,57.05
85268,Endovenous radiofrequency ablation,5682.71
26929,Endoscopic carpal tunnel release,412.67
2553K,Endoscopic spine surgery,289.37
42723,Excision of malignant melanoma,491.76
57225,Excision of skin cancers (adult),75.55
55073,Excision of thyroid nodule,300.2
25528,Facial nerve decompression surgery,425.85
2213B,Gastric bypass (laparoscopic),424.31
5161Z,Gastric sleeve revision surgery,159.68
4796X,Gastrostomy tube (G-tube) placement,394.89
6932L,Gingival grafting surgery,193.48
72631,Glaucoma drainage device implantation,9822.44
5572S,Graft-versus-host disease treatment,279.76
94724,Groin hernia repair (laparoscopic),377.57
82147,Gynecomastia surgery (male),2756.9
1119E,Hemorrhoidectomy (open),154.08
9893Y,Hernia repair (inguinal - adult),256.41
4752Y,Hernia repair (inguinal - child),59.65
61359,Hip replacement (posterior approach),5431.11
9704B,Hip resurfacing surgery,3678.14
7357S,Hysteroscopic polypectomy,4684.01
5969K,Inguinal hernia repair (open),348.3
3931B,Insertion of subclavian central venous catheter,460.18
79039,Knee arthroscopy (meniscus),393.2
8760E,Knee ligament reconstruction (anterior cruciate),366.49
9468Z,Knee replacement (total),5940.75
27174,Kidney biopsy,289.58
7779R,Laparoscopic hernia repair,386.05
74102,Laparoscopic splenectomy,221.35
6798O,Laryngeal cancer surgery,366.45
9001C,Laser eye surgery (LASIK),693.1
1973C,Liver transplantation (living donor),251.49
87603,Lung transplant,9315.46
90181,Lymphadenectomy (for cancer),163.15
34192,Mastectomy (simple),241.94
84035,Mediastinal tumor resection,412.53
77798,Meniscectomy (knee),7098.98
12502,Microsurgical varicocelectomy,128.69
1433P,Mini gastric bypass,303.92
3759V,Minimally invasive abdominal surgery,112.17
2983M,Minimally invasive spine surgery,181.62
29857,Nasal septoplasty,350.51
72873,Neck dissection (for cancer),3660.89
87894,Oophorectomy (laparoscopic),816.38
41458,Open heart surgery (CABG),75.9
8832O,Open hysterectomy,83.84
57864,Open reduction of fracture,295.12
38361,Ovarian cancer staging surgery,139.95
2796D,Pancreatectomy (partial),293.31
7696V,Pediatric cardiac surgery,68.39
90526,Pediatric kidney transplant,88.12
17867,Pelvic floor surgery,7093.63
85648,Penile implant surgery,8167.76
98372,Peritoneal dialysis catheter placement,359.51
82781,Phacoemulsification (cataract removal),349.31
7628S,Pneumonectomy (for lung cancer),228.03
7853U,Postnatal circumcision,456.83
9604Z,Prostate cancer surgery (robotic),4898.04
1272B,Pulmonary thromboendarterectomy,1826.51
77173,Radical prostatectomy (robotic),134.84
96595,Renal artery stenting,274.29
4807Z,Rotator cuff repair (arthroscopic),162.45
82201,Sacral nerve stimulation for incontinence,195.42
78389,Scoliosis surgery (adult),470.99
7627X,Sinus lift surgery,317.81
8921G,Shoulder labrum repair,324.65
56904,Spinal cord stimulator implantation,303.41
8525W,Spinal deformity correction,215.11
4244Q,Spinal fusion (lumbar),196.97
3258L,Spinal stenosis surgery,280.16
81060,Surgical ablation for atrial fibrillation,88.85
9919P,Surgical biopsy (bone),476.49
3798B,Surgical treatment of fibroids,8902.84
67803,Tendon repair (finger),119.05
14586,Tendon transfer surgery,482.67
38291,Thoracic aortic aneurysm repair,8226.24
37653,Thyroid lobectomy,454.06
10447,Tonsillectomy (adult),137.43
3825U,Total knee replacement (minimally invasive),214.93
3764J,Transurethral microwave thermotherapy (TUMT),187.81
66913,Tracheotomy (temporary),1336.35
46590,Trapeziectomy (thumb joint),309.33
31095,Tubal ligation reversal,487.45
15590,Ureteral stent placement,4240.39
2937A,Vaginal hysterectomy (robotic),272.4
3601J,Vascular surgery (endovenous laser),187.44
11690,Vertebroplasty (spinal fracture),411.29
31141,Visceral artery bypass surgery,1332.54
9280E,Xenograft skin graft,1454.31
9852P,Zygomatic implant placement,5887.14
4984G,,60.96
23235,,434.34
74628,,224.59
79071,,4488.12
5590C,,402.32
5429Y,,163.07
1860L,,137.96
23392,,285.69
2191H,,394.72
93773,,311.47
81337,,202.02
29691,,7066.78
4959B,,226.13
6405M,,391.09
97716,,88.29
41152,,3070.27
6861U,,4642.21
3323N,,275.51
75791,,211.25
85306,,79.92
46930,,413.9
93558,,9464.84
49149,,4169.59
46609,,6609.67
1935C,,2127.71
81066,,216.93
56744,,322.75
36772,,5050.74
93911,,7151.16
1446M,,87.5
4432Z,,416.27
1150E,,401.27
89149,,4931.96
2556M,,389.99
75515,,8393.46
90644,,198.55
22894,,136.51
13425,,429.4
4474I,,156.41
36729,,5790.15
37685,,317.47
4029L,,404.36
2772G,,59.75
87050,,438.4
87439,,94.13
8199I,,208.68
9921J,,2666.8
8020V,,321.93
1911P,,235.68
8986B,,387.61
6559G,,140.8
2305V,,493.52
79508,,130.7
85046,,136.59
56224,,233
77677,,4968.86
3135H,,415
18857,,259.27
55757,,225.87
22505,,147.87
8379M,,298.65
26592,,3167.97
38121,,9022.28
15014,,187.99
83732,,107.89
7334H,,326.13
42153,,5726.93
7873A,,385.07
3136B,,7851.74
31790,,138.12
3283B,,372.69
74822,,307.31
89757,,4328.46
9144M,,342.89
2324Y,,7878.68
9679Q,,9615.43
12407,,495.6
63313,,220.73
4454K,,494.69
3633Z,,465.92
78139,,2561.6
6769T,,2410.24
79316,,436.48
16656,,80.7
5117Y,,105.12
1811N,,91
36494,,402.86
41784,,182.46
69180,,306.92
28771,,376.56
9263X,,181.53
2145R,,272.97
3553W,,52.38
5408Q,,243.93
50169,,1708.74
28069,,262.03
3656S,,487.65
16903,,232.25
81823,,1139.08
78025,,90.39
62471,,5492.14
8707W,,334.46
24555,,364.62
82605,,2881.35
59353,,374.24
4164E,,256.58
24366,,349.51
3033O,,2191.02
50992,,128.81
2989B,,180.09
95274,,131.18
37523,,238.18
7441R,,5789.97
11110,,268.79
9156X,,127.11
80539,,461.19
1819F,,9276.19
32107,,244.99
63664,,562.55
7073U,,283.23
12872,,224.32
21172,,307.94
9250X,,77.62
31510,,138.27
7610W,,334.21
91032,,96.55
71336,,352.82
5256Q,,5487.41
6042D,,313.83
24701,,408.8
11369,,167.53
52229,,323.74
9140M,,380.85
23732,,266.02
6346P,,134.26
6807U,,234.87
1084J,,8487.76
34944,,362.76
3837I,,353.47
3647X,,292.66
43457,,304.05
92920,,275.04
2773D,,4336.16
7407I,,236.9
8468G,,96.68
6634V,,2008
99266,,227.49
49359,,4042.56
95526,,408.21
74455,,241.03
18317,,9159.36
29919,,180.94
4543J,,3148.52
77100,,214.47
96495,,7596.38
9200M,,450.41
68148,,494.94
8852B,,180.63
92030,,202.02
50676,,9840.2
60088,,59.88
2331A,,8484.13
6058K,,217.81
1181I,,225.11
2835F,,148.22
11797,,219.87
9998P,,7682.69
55152,,302.11
8054V,,1763.91
3955X,,3790.26
4782A,,151.81
2529F,,147.61
8280E,,230.52
15524,,7794.59
5432C,,434.84
9151L,,187.43
51166,,328.26
80397,,7823.68
8268P,,6025.3
99387,,212.06
1763U,,4797.97
25676,,269.46
1382C,,473.08
71525,,108.63
1993G,,85.74
5974V,,373.99
2684C,,146.23
9500I,,1887.65
3962I,,9365.87
21149,,3614.56
2817U,,6350.8
3216S,,204.25
5460R,,249.13
1701Q,,9973.04
38066,,372.92
4774U,,484.15
7015U,,65.94
4078Y,,771.38
3359H,,89.46
43195,,1641.46
8616L,,287.28
5477Q,,207.46
12025,,352.79
8170M,,4517.77
82066,,5060.22
2324J,,66.29
1619P,,69.81
4579H,,480.48
75272,,244.56
9495E,,278.01
36503,,497.66
6469O,,322.87
26786,,147.22
39111,,4198.58
8475I,,385.21
7718W,,235.55
6416J,,139.06
6080T,,3565.39
3788Q,,377.93
4486I,,403.29
68612,,5758.24
33142,,455.68
90560,,7938.6
32913,,270.6
48291,,397.95
9509Z,,4378.21
8721Y,,450.07
3651T,,453.76
61568,,52.05
16677,,397.61
20392,,135.67
74730,,394.2
2659Y,,455.59
99012,,459.24
76768,,107.21
74672,,407
54747,,279.91
73987,,76.96
1759P,,172.4
70191,,103.64
79687,,5177.59
3911D,,201.04
7443E,,294.77
24685,,200.33
42874,,155.3
3463C,,217.71
95878,,158.75
7431B,,6209.84
55451,,6327.68
1137Y,,8295.3
42121,,209.89
82423,,550.9
67259,,224.76
83257,,169.67
2337S,,486.23
57081,,380.2
12723,,316
1429M,,244.85
7334G,,2973.59
66172,,484.88
90738,,57.74
9523J,,152.98
91671,,9787.43
3457E,,184.3
5878W,,140.84
3360A,,5673.33
4760H,,272.29
1568K,,2164.45
58968,,7307.14
39002,,446.5
4496M,,244.73
8153U,,153.32
1571D,,199.62
25601,,4850.2
6066J,,256.56
4322F,,5950.94
5656B,,2950.64
97258,,464.54
6795W,,423.8
85271,,6154.89
4553V,,162.24
10399,,4684.71
94473,,372.82
2529C,,172.15
67962,,456.76
92822,,67.41
2547V,,213.05
96208,,130.14
5616J,,9484.57
20560,,4266.43
32148,,2290.58
12493,,261.56
20063,,9013.32
70105,,791.91
42683,,9868.64
46702,,207.84
29327,,7578.72
47566,,8384.48
94624,,427.19
8085Q,,87.2
9523N,,292.35
92396,,450.23
7454O,,425.91
8542K,,7237.54
4734Q,,488.68
1053K,,364.4
88132,,101.06
8907K,,335
1092K,,1363.58
26348,,299.17
49770,,3131.26
21645,,202.09
8625B,,111.89
1713N,,473.08
8122Q,,435.42
94331,,406.78
91900,,115.57
79621,,292.57
38468,,273.37
27690,,2238.84
6675G,,2623.69
7802B,,56.88
5983S,,243.17
7964B,,428.73
32232,,120.1
2073L,,256.25
3269J,,156.08
45803,,145.88
49884,,330.4
6274W,,457.44
69879,,8105.27
5455D,,378.56
3359P,,292
13045,,198.22
8481O,,369.28
99793,,443.81
4920D,,311.98
8794U,,4263.98
19413,,9877.2
80197,,8572.46
49590,,113.13
5823U,,227.6
9187Q,,319.95
57701,,417.78
76170,,66.21
9429C,,156.07
3435F,,187.89
78715,,194.8
1445X,,4756.16
6196N,,119.4
1494S,,185.66
58558,,145.51
3345D,,301.68
4978N,,443.1
34682,,4130.68
64592,,9035.11
74764,,260.4
1415C,,100.44
35022,,400.13
54171,,214.59
16973,,89.08
91923,,121.29
4205H,,103.26
9374D,,384.36
8082D,,198.25
3612Z,,9613.43
3795S,,370.12
8129U,,133.41
21901,,95.07
26596,,331.68
1373S,,1562.77
8349U,,290.91
2396X,,408.87
97628,,2063.67
4220X,,9121.61
73569,,75
93537,,130.14
6026Q,,446.34
3014C,,307.19
92564,,474.18
98413,,9639.55
9799E,,3935.42
6281B,,5821.99
4746G,,7975.74
14450,,249.28
1122M,,208.53
29915,,65.43
1656P,,5644.4
6747C,,4663.45
5030X,,1563.02
9627M,,360.93
2762E,,245.83
3642N,,348.56
4979R,,131.88
3766R,,453.93
71671,,4945.07
39189,,268.87
36776,,178.55
3469W,,161.06
8297I,,196.65
3816U,,205.57
2530S,,90.38
1077W,,202.78
80215,,498.77
25618,,4983.84
17512,,363.47
58628,,4720.31
5814Z,,402.18
86826,,95.19
2333X,,337.88
9676P,,289.84
80184,,429.21
5554V,,481.05
7070F,,274.4
2659E,,354.21
3225A,,158.85
17358,,84.33
6620V,,493.52
6296T,,478.72
9046O,,457.22
18279,,275.51
8269M,,331.23
97504,,455.08
6314F,,143.76
2885X,,288.02
52563,,176.77
6762T,,5841.73
21888,,113.4
9259T,,8363.61
1839V,,105.33
91153,,9400.25
7878J,,258.44
68476,,342.25
1393B,,493.6
5926O,,4230.62
73985,,6079.52
66654,,98.39
9827I,,53.13
6419D,,207.23
15095,,7943.13
93198,,190.99
1499W,,294.72
8507S,,423.19
15549,,2674.16
87181,,94.09
8829B,,473.96
3043P,,499.3
2294G,,53.87
17421,,2325.05
8614N,,411.44
6850U,,200.81
5298J,,490.99
2622I,,480.42
90486,,405.86
9851P,,180.85
46099,,112.46
2583W,,60.84
