Medical Code,Cost
9672J,435.49
38112,4439.65
66839,2384.57
34641,6334.12
46397,495.54
22515,2217.07
9563C,79.5
9839R,156.16
3956H,86.06
4472K,437.02
80668,381.96
2143H,330.37
6744U,6654.36
87656,3781.41
7987C,9074.5
7950V,287.1
6889I,302.78
6763K,439.77
5534Y,426.58
17932,345.66
6883M,8501.62
85268,8158.61
26929,200.22
2553K,4080.1
42723,8615.03
57225,317.12
55073,361.59
25528,294.65
2213B,485.18
5161Z,108.53
4796X,163.57
6932L,237.33
72631,259.95
5572S,177.82
94724,184.7
82147,336.8
1119E,8918.87
9893Y,155.86
4752Y,487.11
61359,3355.44
9704B,8538.01
7357S,440.16
5969K,300.01
3931B,228.94
79039,253.31
8760E,2011.44
9468Z,381.6
27174,377.72
7779R,89.63
74102,56.42
6798O,5586.21
9001C,158.39
1973C,3642.03
87603,272.76
90181,116.53
34192,471.08
84035,434.63
77798,4597.72
12502,334.46
1433P,204.1
3759V,103.95
2983M,289.59
29857,264.39
72873,344.46
87894,5479.8
41458,202.45
8832O,78.78
57864,149.62
38361,129.98
2796D,184.01
7696V,187.23
90526,2227.88
17867,394.21
85648,179.79
98372,332.98
82781,454.55
7628S,465.98
7853U,368.19
9604Z,7630.27
1272B,333.4
77173,7103.08
96595,339.03
4807Z,491.02
82201,225.34
78389,496.19
7627X,5784.43
8921G,5011.46
56904,387.95
8525W,402.99
4244Q,171.06
3258L,64.14
81060,446.23
9919P,132.25
3798B,173.09
67803,478.35
14586,7416.77
38291,162.31
37653,55.76
10447,8927.82
3825U,156.43
3764J,160.98
66913,83.57
46590,54.03
31095,179.58
15590,171.95
2937A,9324.86
3601J,352.51
11690,285.86
31141,369.0
9280E,5538.8
9852P,335.17
4984G,6020.72
23235,52.39
74628,421.35
79071,52.2
5590C,178.04
5429Y,101.36
1860L,305.19
23392,9603.2
2191H,120.93
93773,283.07
81337,1848.26
29691,70.11
4959B,216.23
6405M,218.63
97716,305.83
41152,140.42
6861U,1505.5
3323N,332.72
75791,403.81
85306,115.35
46930,495.0
93558,6094.21
49149,3491.11
46609,390.28
1935C,236.86
81066,196.9
56744,107.86
36772,139.81
93911,399.35
1446M,9426.31
4432Z,9971.29
1150E,82.55
89149,262.73
2556M,50.48
75515,355.67
90644,329.6
22894,484.15
13425,145.53
4474I,3602.52
36729,245.51
37685,8539.71
4029L,435.1
2772G,114.18
87050,209.07
87439,256.41
8199I,481.85
9921J,9329.35
8020V,266.05
1911P,244.24
8986B,7832.58
6559G,63.8
2305V,3645.45
79508,150.53
85046,8089.45
56224,396.27
77677,122.06
3135H,413.41
18857,2417.46
55757,411.76
22505,484.4
8379M,285.89
26592,347.16
38121,175.31
15014,50.85
83732,9301.53
7334H,82.17
42153,479.23
7873A,8162.96
3136B,8461.51
31790,363.19
3283B,318.3
74822,165.14
89757,224.44
9144M,5410.33
2324Y,129.68
9679Q,425.98
12407,274.1
63313,369.8
4454K,238.83
3633Z,421.02
78139,6177.52
6769T,321.09
79316,191.61
16656,302.16
5117Y,436.55
1811N,228.16
36494,268.31
41784,290.53
69180,281.88
28771,221.62
9263X,6841.83
2145R,215.56
3553W,5748.75
5408Q,358.86
50169,8724.82
28069,292.94
3656S,413.97
16903,2345.72
81823,298.78
78025,499.16
62471,9875.81
8707W,98.79
24555,465.18
82605,372.36
59353,148.24
4164E,431.51
24366,400.43
3033O,199.15
50992,6315.78
2989B,8777.96
95274,169.7
37523,115.29
7441R,3014.17
11110,352.87
9156X,397.52
80539,282.44
1819F,8826.36
32107,140.87
63664,344.17
7073U,169.59
12872,2012.66
21172,245.45
9250X,186.47
31510,428.9
7610W,219.01
91032,7282.92
71336,106.85
5256Q,442.78
6042D,211.02
24701,493.84
11369,66.9
52229,8814.54
9140M,232.92
23732,54.7
6346P,141.28
6807U,426.12
1084J,432.36
34944,63.63
3837I,324.44
3647X,477.35
43457,404.18
92920,1424.17
2773D,217.73
7407I,178.09
8468G,82.44
6634V,454.74
99266,131.14
49359,140.13
95526,230.39
74455,223.3
18317,147.62
29919,8677.73
4543J,6268.94
77100,393.34
96495,459.19
9200M,7030.6
68148,186.19
8852B,331.26
92030,160.84
50676,3368.42
60088,273.61
2331A,469.32
6058K,1913.55
1181I,366.19
2835F,5120.64
11797,8479.46
9998P,283.19
55152,6467.35
8054V,498.44
3955X,1584.8
4782A,9943.09
2529F,496.46
8280E,302.77
15524,425.13
5432C,412.25
9151L,7385.91
51166,1693.11
80397,269.35
8268P,7123.8
99387,341.76
1763U,421.59
25676,214.17
1382C,9889.85
71525,98.45
1993G,227.67
5974V,92.58
2684C,66.83
9500I,222.33
3962I,267.52
21149,303.38
2817U,337.94
3216S,427.29
5460R,352.29
1701Q,454.22
38066,485.86
4774U,138.54
7015U,176.32
4078Y,266.87
3359H,95.32
43195,9439.82
8616L,388.06
5477Q,461.16
12025,6761.45
8170M,372.5
82066,3324.35
2324J,428.3
1619P,2796.92
4579H,375.42
75272,6510.19
9495E,316.91
36503,215.25
6469O,204.53
26786,405.36
39111,449.28
8475I,196.1
7718W,9455.92
6416J,269.31
6080T,144.21
3788Q,224.9
4486I,85.32
68612,464.29
33142,446.49
90560,8889.83
32913,77.2
48291,3996.91
9509Z,200.04
8721Y,2113.43
3651T,5719.2
61568,90.98
16677,238.8
20392,444.28
74730,2720.32
2659Y,91.05
99012,62.04
76768,9016.3
74672,9279.74
54747,352.76
73987,6726.55
1759P,398.92
70191,435.54
79687,429.1
3911D,116.0
7443E,228.09
24685,428.21
42874,346.19
3463C,6459.95
95878,494.71
7431B,481.2
55451,7260.54
1137Y,143.9
42121,5236.67
82423,421.51
67259,193.75
83257,6670.95
2337S,74.82
57081,440.05
12723,103.75
1429M,407.89
7334G,5884.36
66172,234.94
90738,8068.74
9523J,466.28
91671,9175.37
3457E,7788.25
5878W,275.29
3360A,301.21
4760H,330.74
1568K,808.3
58968,438.78
39002,179.24
4496M,173.5
8153U,489.92
1571D,9023.88
25601,620.66
6066J,261.6
4322F,440.67
5656B,434.0
97258,292.44
6795W,209.51
85271,53.92
4553V,9414.84
10399,347.17
94473,123.58
2529C,181.94
67962,74.86
92822,161.07
2547V,137.63
96208,358.91
5616J,96.57
20560,454.02
32148,429.39
12493,272.52
20063,745.15
70105,224.89
42683,208.97
46702,301.95
29327,380.9
47566,178.98
94624,117.04
8085Q,647.18
9523N,9141.61
92396,458.72
7454O,3072.15
8542K,4457.8
4734Q,738.13
1053K,266.05
88132,477.55
8907K,53.96
1092K,2501.86
26348,8695.84
49770,341.17
21645,417.01
8625B,380.13
1713N,212.47
8122Q,7417.11
94331,3034.33
91900,2643.8
79621,198.17
38468,6969.0
27690,9861.43
6675G,8407.17
7802B,3429.12
5983S,486.35
7964B,433.68
32232,493.73
2073L,126.59
3269J,2625.44
45803,250.5
49884,404.81
6274W,334.11
69879,174.13
5455D,146.5
3359P,330.78
13045,246.6
8481O,63.41
99793,7932.67
4920D,133.91
8794U,181.64
19413,335.52
80197,1639.88
49590,8612.15
5823U,231.86
9187Q,6952.65
57701,312.95
76170,144.92
9429C,442.75
3435F,257.33
78715,52.3
1445X,9682.51
6196N,408.02
1494S,64.4
58558,98.13
3345D,65.91
4978N,174.4
34682,209.0
64592,419.88
74764,118.0
1415C,210.96
35022,9229.11
54171,6746.64
16973,159.22
91923,287.81
4205H,1134.7
9374D,454.12
8082D,431.26
3612Z,4437.92
3795S,140.15
8129U,1953.03
21901,291.88
26596,57.72
1373S,190.52
8349U,135.97
2396X,216.0
97628,249.12
4220X,116.98
73569,433.63
93537,100.35
6026Q,241.7
3014C,498.36
92564,407.7
98413,378.29
9799E,317.01
6281B,4890.32
4746G,494.31
14450,5929.42
1122M,216.38
29915,496.24
1656P,8006.27
6747C,51.68
5030X,3502.91
9627M,350.13
2762E,162.19
3642N,126.7
4979R,4540.21
3766R,280.4
71671,142.9
39189,70.77
36776,3585.5
3469W,434.11
8297I,208.46
3816U,249.01
2530S,5855.6
1077W,396.48
80215,397.62
25618,9544.45
17512,341.27
58628,468.02
5814Z,305.49
86826,180.04
2333X,9985.84
9676P,464.15
80184,354.11
5554V,381.29
7070F,212.34
2659E,3989.65
3225A,200.59
17358,74.43
6620V,4696.31
6296T,377.05
9046O,1356.69
18279,121.02
8269M,268.66
97504,8583.83
6314F,93.34
2885X,695.03
52563,301.39
6762T,450.15
21888,296.73
9259T,242.96
1839V,143.03
91153,332.67
7878J,68.89
68476,104.76
1393B,374.15
5926O,1228.43
73985,6219.55
66654,3588.02
9827I,8465.0
6419D,251.47
15095,290.36
93198,5782.35
1499W,219.92
8507S,405.5
15549,426.93
87181,314.08
8829B,6349.02
3043P,151.32
2294G,489.15
17421,148.01
8614N,321.04
6850U,110.65
5298J,245.11
2622I,379.15
90486,3577.67
9851P,83.54
46099,6265.78
2583W,178.57
6567L,363.72
6302N,435.26
76339,216.8
8278H,54.05
11750,187.56
51339,400.93
5354I,375.36
18472,201.4
57596,6234.49
33052,4999.35
61049,375.03
71403,110.96
1827R,182.22
69083,410.88
1365Z,338.35
26471,637.76
19947,2482.57
95498,269.31
1368B,146.31
6373P,87.5
50672,79.62
4983G,422.67
55787,1154.49
7340I,133.18
64122,2169.08
7907I,260.41
54562,169.0
16786,50.36
6502P,3016.0
7778J,4550.44
2087K,449.48
61097,443.35
6262C,162.39
8278Z,271.2
51307,366.69
4222G,397.76
51922,1790.17
47662,52.56
6211L,3056.7
8646J,388.33
4368G,381.93
83879,6265.46
4550X,411.76
9250V,480.18
5135Z,137.64
7486Y,275.76
7049N,5271.59
48759,476.45
9889G,3766.79
32150,191.48
41912,67.68
80531,319.79
56172,394.97
3679S,4065.35
73137,244.41
27459,262.79
50705,9379.7
6209W,387.71
30867,2914.03
25698,153.61
23036,9112.16
1101E,216.83
52198,135.04
8065Z,368.62
3664B,393.19
19284,315.09
89945,457.56
83889,89.11
87357,9431.69
44968,8653.97
2797H,53.34
49891,96.25
73838,97.11
41153,2449.24
8250Z,1857.25
64192,339.57
1577D,9444.94
7351A,112.04
81621,5579.55
1309Y,200.42
4034Z,450.42
86062,449.95
32629,329.82
1660V,199.83
5559N,479.14
30127,296.74
9324Z,220.04
11947,238.17
8726B,414.01
77884,2405.41
1586U,2199.78
85537,291.71
65572,4916.75
91118,358.4
8293S,338.46
98570,355.85
2226U,93.92
9608Y,326.93
9277C,289.34
83391,192.31
39133,466.34
9393Z,5997.39
57309,401.45
4818K,160.74
1369G,102.43
52133,200.87
4822Q,65.42
5392R,267.75
91961,380.38
75380,85.07
27963,1822.76
87051,192.38
4135G,4041.44
9606Y,228.42
62255,471.26
47544,216.04
58172,90.51
9796P,146.54
1214R,444.71
4522J,77.49
36660,5969.67
65768,6546.08
99925,161.25
6952J,403.6
5028K,54.59
7937G,234.33
37063,336.8
9938F,405.96
91303,478.46
66673,1925.45
1086E,397.88
56681,67.49
70774,295.77
33510,294.15
80550,246.59
58456,461.41
23494,8996.38
2082S,463.5
67408,157.39
1155G,75.23
90612,162.94
28416,349.1
2384H,8772.57
23588,79.44
1770A,5712.59
98276,195.98
4586B,176.7
1254U,271.66
39919,429.1
4872I,334.56
4985A,107.38
49529,260.03
55714,4806.79
8913Y,247.62
31728,1227.21
8862Y,455.81
4879E,228.07
1481L,492.93
33984,4695.07
83526,257.93
4356Y,53.08
7510D,408.29
9323J,487.21
26723,58.3
5083U,177.66
39115,339.03
54119,412.42
82268,7854.87
8921Q,392.35
79540,236.02
1513L,183.7
14343,64.25
25486,383.76
28943,373.52
36583,326.16
62438,272.64
8459G,407.75
1065V,122.55
79618,4305.19
85131,52.5
22259,178.2
68584,454.71
8255P,6862.94
1121T,293.84
4849T,162.34
57587,146.4
9407I,178.9
44031,236.37
9547Z,361.6
8158B,8327.25
25536,299.7
21452,354.66
95074,312.05
66621,343.73
8978M,371.85
5628O,358.6
38982,100.25
3925P,130.32
1125Y,9665.43
2894A,378.8
55861,1000.79
78288,5767.22
2078E,127.02
23496,469.05
3878V,235.28
9348A,5571.76
86816,119.68
79371,74.47
74589,193.5
4797V,469.85
64885,4223.74
5607R,215.39
9710J,330.34
2905K,7042.71
49597,357.57
12483,167.61
95838,513.96
71971,139.95
6575V,188.05
6201V,166.87
17686,3089.27
4535S,195.05
18168,251.23
9367J,213.49
4206H,309.77
39346,325.4
19600,288.15
7633R,441.51
86115,479.17
92789,179.47
9703A,2967.6
4072X,369.04
1076L,342.15
7709A,356.67
7553X,58.46
35797,51.79
2299V,489.16
3591U,447.0
89311,453.58
12281,91.35
38020,468.22
25314,310.51
47658,105.58
59985,335.74
43612,70.17
36517,493.09
1596M,307.42
9195M,146.82
4520E,258.51
96329,478.07
9960C,102.91
32429,407.53
61841,347.71
14174,4802.1
1213A,5463.9
87274,2282.34
92679,8167.5
3947G,9618.68
4367U,314.17
16359,459.92
8054E,272.38
2242Y,201.61
59865,3275.67
72422,73.98
40765,9652.98
7408R,336.78
9504O,131.55
3173T,131.01
21640,160.68
6748L,220.37
71429,7575.6
28085,128.5
8697H,148.65
64804,454.55
27939,9520.12
3133M,421.55
71620,5404.01
97757,461.14
3064P,317.22
6468U,339.59
9922R,8097.61
50416,70.06
4642C,211.92
9174S,399.06
81656,835.91
3289Q,174.54
18796,210.28
8201R,182.02
78799,3187.23
3103J,145.38
5238C,186.14
9683Y,8104.45
40918,377.99
53091,117.85
28206,346.41
53284,5290.48
66608,428.85
7329H,226.42
34386,8653.71
6515L,7658.32
8181T,8726.29
50645,3535.87
2523N,9175.61
32635,6187.15
68841,300.98
1304Y,231.44
79465,223.99
1577L,473.11
48656,1468.36
9623L,173.99
51695,156.51
7474U,177.88
57524,53.2
7708A,8126.5
5046Y,7846.42
83826,59.54
64217,126.99
65213,3200.68
68109,410.34
10126,444.88
92004,6472.96
5079N,6293.01
54939,5045.51
71935,225.04
66396,284.93
2354G,839.12
2610A,7019.9
35195,294.01
22780,117.74
9644U,2362.76
8209A,445.56
7473Q,354.44
49469,400.02
7042B,5010.18
1934R,342.49
58486,421.79
32643,112.39
2837V,4864.83
6111Q,779.78
86307,2082.16
83898,275.26
48822,9367.34
5563T,1944.89
87546,458.75
6745K,494.51
9865W,6614.6
10850,105.11
3655B,54.96
18860,2303.7
80072,3633.73
7369X,336.9
6011K,375.01
79545,52.41
35826,94.62
3870M,251.04
2651B,325.46
78057,241.78
23466,289.02
66136,184.63
8609F,419.04
79393,6355.99
6143V,449.36
9323G,369.29
8841A,3451.58
2793Q,404.53
54519,467.06
1404Z,126.0
85773,201.37
47471,6036.4
76029,598.56
39411,9111.77
17633,592.77
50060,201.43
37951,456.15
23822,118.26
9947R,318.94
2748J,444.63
3120G,5325.5
3287I,238.3
89203,296.56
26407,3517.17
7174O,9915.83
9764C,188.33
9945M,404.56
5694E,450.87
50619,9829.76
4794X,272.62
24000,422.48
58312,124.62
86076,9399.55
62396,106.4
3895A,101.76
1249K,395.96
6304B,85.67
2814U,372.83
9880Q,5118.73
81204,3192.94
7236Y,7130.99
7852I,444.36
90237,310.88
7871X,8618.8
9919A,425.97
46667,180.46
2577A,167.25
8624E,199.82
49532,158.87
64677,451.58
6966C,115.55
1487P,3947.56
52794,149.15
6732C,403.82
1848G,405.62
8301F,9940.62
9729B,132.05
6712T,302.69
76426,121.66
47585,134.3
8106O,5970.78
1995J,246.76
6604U,368.33
45918,6693.59
2909T,8174.44
83694,295.52
1298A,214.11
54272,439.99
4669X,216.79
3101B,1561.56
99156,1079.89
30853,142.85
8054S,173.26
32235,1571.59
6398C,359.42
72382,3123.77
10929,281.99
2483R,494.67
85023,481.54
36389,87.85
18278,463.36
4081R,314.39
87705,249.47
87159,270.31
67681,340.71
23168,384.67
39463,474.4
19437,7306.22
1463R,494.04
10663,248.6
32722,465.2
40535,476.78
34453,202.98
7772N,63.71
3823C,476.4
76609,300.95
68632,8122.79
70021,378.95
6715D,272.42
51240,135.8
37680,7394.59
82815,162.93
65032,8585.82
91739,199.01
9751M,146.59
4970C,114.0
4658Y,139.41
53434,221.29
1381H,8847.97
2534Q,330.02
2365L,83.71
91460,326.75
89049,78.12
63592,265.94
1754I,5867.09
1332T,159.87
24589,495.4
3480I,234.47
7911R,3197.86
9097N,126.69
71578,143.89
51081,360.04
80432,325.79
72036,498.43
23355,465.32
5536E,329.89
70201,319.86
1420Y,277.51
3916O,489.76
5824P,324.6
75409,425.26
1719C,2921.56
37327,3585.01
51830,150.73
48865,388.93
22665,55.29
8474M,296.91
5309I,203.77
80393,409.99
2114A,341.72
99778,495.92
4959M,189.71
28382,4507.78
58273,196.07
56960,7662.72
1916X,414.34
61019,265.72
3545O,339.35
2159G,425.18
9143U,143.9
10313,2187.9
6680X,482.74
7780R,1305.93
70509,281.34
9387Q,171.59
6046Y,247.96
1068O,5680.51
49641,9940.16
5527L,371.58
2164Q,480.32
89361,60.02
39373,173.68
4013W,332.33
98288,368.39
7164J,327.81
6025F,7899.63
9751Q,51.79
7448N,300.04
3161J,441.11
3964H,387.38
5633H,263.24
5083K,282.11
1635E,7154.03
3888B,355.45
9397P,222.44
6453A,123.31
6314C,251.81
1369Z,193.12
3941Y,2964.89
93148,70.49
40171,488.66
2571C,207.63
1338S,1244.33
4654B,5838.99
12441,498.06
61989,229.0
66578,249.45
71092,364.22
24635,7880.65
5992Y,6281.73
4793O,112.39
32926,70.83
71425,157.63
28147,179.74
3960E,402.53
69349,2054.34
53733,394.99
93279,879.67
86883,148.16
2781G,329.3
6344B,488.72
1166S,332.61
56148,139.69
5921G,393.91
74131,257.83
6580G,148.39
8985Z,276.42
28366,186.82
4962R,393.37
7050U,286.6
6869Z,120.32
4877O,316.6
7611C,278.56
60114,251.63
64147,313.17
69035,408.32
1201Y,175.02
2527Y,888.8
3292O,371.03
6525Z,56.94
9952M,50.47
19833,182.86
63794,460.45
2533E,2984.45
6069L,302.29
6061E,496.1
1243S,160.85
52213,268.73
3602E,278.35
4636J,472.7
1736K,138.08
4102E,180.52
9247L,683.14
54662,417.48
33095,2795.46
84315,483.84
11920,402.56
9568H,279.69
1430L,332.49
6789Y,86.65
33790,7733.53
2820W,4321.7
84038,3386.93
74622,88.72
2011Y,9757.81
8788S,488.85
88099,270.05
7265V,201.94
6566O,243.69
68452,182.43
8914V,464.68
9548L,397.61
71104,424.86
9118G,420.72
5440L,432.07
62600,55.39
10065,301.33
5541U,979.53
47422,6029.07
70618,247.17
6180I,458.38
18856,410.29
1779A,291.26
62758,334.47
3893X,2769.99
4198U,418.37
1125R,9892.74
1885S,3272.18
33719,200.29
2723K,382.43
1829B,5163.8
2571T,272.22
47294,298.94
99437,312.74
41014,408.99
8053E,9616.92
64105,141.54
7022V,407.8
8017Z,300.01
1438C,9953.66
1819Y,141.1
1365O,2419.15
4976B,282.38
93294,168.21
26998,438.42
44741,5158.74
14500,63.4
5980F,264.06
90265,126.23
8975P,5437.83
67627,438.25
22845,112.76
9856J,67.48
58802,4062.22
6261B,901.23
22704,338.08
4153I,367.73
8309H,1069.23
3862G,195.74
84188,213.73
6569L,4797.85
53580,5816.55
15793,377.31
3729L,90.98
9025J,289.4
5980E,134.65
62170,7939.26
8112H,107.63
6562E,462.49
1726W,4131.22
84591,355.24
22654,158.97
2171B,88.94
8780G,8822.54
74564,2464.25
65642,321.23
76744,1493.75
4881X,2425.02
2316Z,196.03
23058,6893.6
15854,70.65
9576M,61.85
61755,5696.71
90387,484.2
6834K,414.92
3139Y,8705.34
94150,173.42
8488D,368.16
1685R,423.31
5407K,304.87
30493,333.23
90737,377.13
23460,495.9
6270S,250.32
44303,8831.56
2534Z,425.37
66776,255.02
4498J,481.95
1676I,364.21
46070,165.8
55245,458.83
52225,8921.46
73858,5890.86
6185O,368.84
87307,118.42
6869U,54.84
43853,5775.67
6441J,279.81
41720,52.26
2900Z,171.84
5185I,414.1
58965,328.31
45975,467.63
1503D,237.29
21621,5822.11
30513,81.52
38793,50.72
52032,370.34
3163R,5628.09
3008C,398.34
4575U,253.14
1522D,258.98
82009,359.02
26601,343.22
65102,223.87
3229M,137.88
29829,221.27
6100C,6813.81
54414,498.25
2418H,229.76
25509,63.67
67168,247.75
8899Q,4365.5
2783A,200.51
21011,88.45
94993,301.81
72751,126.41
61413,9277.47
6129I,462.72
1754B,254.74
40353,428.32
7864A,4393.07
20450,453.34
82863,70.31
5457F,1987.08
7609W,274.15
93769,53.91
8123Z,371.57
72656,8844.13
1165U,466.85
9233Z,134.06
89075,241.57
6853F,6500.23
8985S,412.82
7499K,331.56
2256Z,335.34
50101,395.9
4200R,147.96
21968,9120.17
41861,2448.51
1827I,135.49
69114,4954.65
5499V,499.12
7415C,407.6
5769M,290.03
8760Z,197.73
4655O,374.37
31086,136.2
28724,1555.2
53901,309.16
69415,340.0
32485,447.44
3357K,3041.16
33823,457.66
4714V,98.32
7876P,54.18
19867,5905.38
4903S,309.09
4308Z,470.23
5053R,265.94
68509,492.19
3524H,98.24
35142,413.59
2122L,226.99
4827P,497.06
7218K,3284.55
94396,437.08
6953Z,272.6
1746G,227.12
8478U,299.88
4053K,147.9
4015L,113.58
66059,146.77
84757,4473.8
50318,319.39
9893C,97.72
35060,237.87
87837,306.86
7295K,262.03
31684,423.84
46071,2311.02
6463R,280.53
1636N,5900.43
2531L,184.57
31537,237.8
61586,2814.6
9470N,93.69
2700W,326.6
88340,7190.24
10839,242.83
87470,363.47
34730,417.07
55682,487.61
67920,122.79
95693,251.66
97033,239.12
52382,356.78
37935,120.54
36248,8137.7
5736T,410.52
83954,355.56
90951,169.31
7493F,475.64
83645,5850.7
4407X,453.25
4922G,385.9
57119,91.79
5997R,3108.68
78473,424.45
50230,8394.95
87441,365.39
8749T,58.69
57549,387.71
2240R,133.6
